threads,pi,points_number,time
1,3.280000,100,3.6999999999999997e-06
1,3.076000,1000,2.4099999999999996e-05
1,3.149600,10000,0.0002029
1,3.132720,100000,0.0020058
1,3.144696,1000000,0.019724500000000002
1,3.141180,10000000,0.19683920000000002
1,3.141537,100000000,2.0046374000000005
1,3.141561,300000000,5.9436008000000005
1,3.141619,1000000000,20.0151483
3,3.040000,100,4.21e-05
3,3.156000,1000,4.069999999999999e-05
3,3.146400,10000,0.0001014
3,3.146040,100000,0.0008510999999999999
3,3.141192,1000000,0.0070462
3,3.141998,10000000,0.0691329
3,3.141433,100000000,0.69206
3,3.141623,300000000,2.0688451
3,3.141562,1000000000,6.903630700000001
5,3.280000,100,8.93e-05
5,3.172000,1000,9.209999999999999e-05
5,3.142400,10000,0.00013280000000000003
5,3.141320,100000,0.0005356
5,3.144000,1000000,0.004430099999999999
5,3.141958,10000000,0.0418785
5,3.141555,100000000,0.41761679999999995
5,3.141721,300000000,1.2596574000000003
5,3.141610,1000000000,4.2151263
7,3.040000,100,0.000113
7,3.212000,1000,0.0008718000000000002
7,3.141200,10000,0.000152
7,3.133600,100000,0.000411
7,3.143288,1000000,0.0034096
7,3.141429,10000000,0.031328499999999995
7,3.141487,100000000,0.30399479999999995
7,3.141668,300000000,0.9185208000000001
7,3.141606,1000000000,3.0489935999999997
10,3.120000,100,0.0001305
10,3.164000,1000,0.0001592
10,3.125600,10000,0.00029759999999999997
10,3.146400,100000,0.0004707
10,3.143036,1000000,0.0034837000000000006
10,3.141621,10000000,0.0311421
10,3.141683,100000000,0.2485166
10,3.141498,300000000,0.7587102
10,3.141631,1000000000,2.4697586000000005
