algorithm,threads,total_sum,row_size,column_size,time
rows,1,1100,10,10,6e-07
rows,1,11000000,10,100000,0.002051
rows,1,11000,100,10,2.3000000000000004e-06
rows,1,110000000,100,100000,0.020930200000000003
rows,1,110000,1000,10,2.0799999999999997e-05
rows,1,1100000000,1000,100000,0.2098671
rows,3,1100,10,10,6e-07
rows,3,11000000,10,100000,0.0008696000000000002
rows,3,11000,100,10,1.0000000000000002e-06
rows,3,110000000,100,100000,0.007485
rows,3,110000,1000,10,7.899999999999999e-06
rows,3,1100000000,1000,100000,0.0739145
rows,5,1100,10,10,6.999999999999999e-07
rows,5,11000000,10,100000,0.00043220000000000004
rows,5,11000,100,10,1.0000000000000002e-06
rows,5,110000000,100,100000,0.0046342
rows,5,110000,1000,10,5e-06
rows,5,1100000000,1000,100000,0.0449518
rows,7,1100,10,10,9.000000000000001e-07
rows,7,11000000,10,100000,0.0004378
rows,7,11000,100,10,1.0000000000000002e-06
rows,7,110000000,100,100000,0.0033840999999999997
rows,7,110000,1000,10,4.2000000000000004e-06
rows,7,1100000000,1000,100000,0.032238499999999996
rows,10,1100,10,10,8e-07
rows,10,11000000,10,100000,0.0003874
rows,10,11000,100,10,1.0000000000000002e-06
rows,10,110000000,100,100000,0.0036100999999999993
rows,10,110000,1000,10,8e-06
rows,10,1100000000,1000,100000,0.03359669999999999
columns,1,1100,10,10,1.4999999999999998e-06
columns,1,11000000,10,100000,0.0025112999999999993
columns,1,11000,100,10,4.000000000000001e-06
columns,1,110000000,100,100000,0.025817199999999995
columns,1,110000,1000,10,2.6200000000000003e-05
columns,1,1100000000,1000,100000,0.2610937
columns,3,1100,10,10,4.849999999999999e-05
columns,3,11000000,10,100000,0.0008944000000000001
columns,3,11000,100,10,1.1299999999999999e-05
columns,3,110000000,100,100000,0.0090754
columns,3,110000,1000,10,2.0799999999999997e-05
columns,3,1100000000,1000,100000,0.09183770000000001
columns,5,1100,10,10,5.4099999999999994e-05
columns,5,11000000,10,100000,0.0005612
columns,5,11000,100,10,2.6599999999999996e-05
columns,5,110000000,100,100000,0.0056517
columns,5,110000,1000,10,2.98e-05
columns,5,1100000000,1000,100000,0.0553399
columns,7,1100,10,10,5.65e-05
columns,7,11000000,10,100000,0.00043960000000000006
columns,7,11000,100,10,3.8900000000000004e-05
columns,7,110000000,100,100000,0.004090999999999999
columns,7,110000,1000,10,3.96e-05
columns,7,1100000000,1000,100000,0.039848
columns,10,1100,10,10,0.0002497
columns,10,11000000,10,100000,0.0005759000000000001
columns,10,11000,100,10,0.00021650000000000003
columns,10,110000000,100,100000,0.0053606999999999995
columns,10,110000,1000,10,9.199999999999999e-05
columns,10,1100000000,1000,100000,0.040393700000000005
